Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
HTI,2009-01-01,2009-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,72.0450193000,E
HTI,2010-01-01,2010-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,75.3344989700,E
HTI,2011-01-01,2011-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,79.1269034400,E
HTI,2012-01-01,2012-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,85.5783032200,E
HTI,2013-01-01,2013-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,91.0629004300,E
HTI,2014-01-01,2014-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,92.9668387600,E
HTI,2015-01-01,2015-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.0000000000,E
HTI,2016-01-01,2016-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,114.4166134000,E
HTI,2017-01-01,2017-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,130.4410026000,E
HTI,2018-01-01,2018-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,139.1234060000,E
HTI,2019-01-01,2019-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,165.2396846000,E
HTI,2020-01-01,2020-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2020,2020,LCU,211.5992485000,E
HTI,2021-01-01,2021-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2021,2021,LCU,236.7138086000,E
HTI,1970-01-01,1970-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,11.2401495600,E
HTI,1971-01-01,1971-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,11.5632375000,E
HTI,1972-01-01,1972-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,11.7416891800,E
HTI,1973-01-01,1973-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,14.0651377800,E
HTI,1974-01-01,1974-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,16.1051761800,E
HTI,1975-01-01,1975-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,19.1939020700,E
HTI,1976-01-01,1976-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,22.8332506800,E
HTI,1977-01-01,1977-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,24.4826634900,E
HTI,1978-01-01,1978-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,24.0165761300,E
HTI,1979-01-01,1979-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,24.7677280600,E
HTI,1980-01-01,1980-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,29.5351021700,E
HTI,1981-01-01,1981-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,31.1166759200,E
HTI,1982-01-01,1982-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,US$,33.6002976300,E
HTI,1983-01-01,1983-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,US$,36.6614574900,E
HTI,1984-01-01,1984-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,US$,40.8891243200,E
HTI,1985-01-01,1985-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,US$,44.9726856700,E
HTI,1986-01-01,1986-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,US$,50.3366322400,E
HTI,1987-01-01,1987-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,US$,44.3972319200,E
HTI,1988-01-01,1988-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,US$,43.3086305500,E
HTI,1989-01-01,1989-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,US$,46.6956728000,E
HTI,1990-01-01,1990-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,US$,52.2971690100,E
HTI,1991-01-01,1991-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,US$,49.6644687700,E
HTI,1992-01-01,1992-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,US$,36.9682562200,E
HTI,1993-01-01,1993-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,US$,33.4421090000,E
HTI,1994-01-01,1994-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,US$,44.6760954600,E
HTI,1995-01-01,1995-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,US$,51.5715381900,E
HTI,1996-01-01,1996-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,US$,54.5789387200,E
HTI,1997-01-01,1997-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,US$,58.0029523100,E
HTI,1998-01-01,1998-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,US$,65.7761581200,E
HTI,1999-01-01,1999-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,US$,69.6853160900,E
HTI,2000-01-01,2000-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,US$,61.9172816600,E
HTI,2001-01-01,2001-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,US$,60.8882358300,E
HTI,2002-01-01,2002-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,US$,55.7473536300,E
HTI,2003-01-01,2003-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,US$,45.7042819000,E
HTI,2004-01-01,2004-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,US$,59.8058226300,E
HTI,2005-01-01,2005-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,US$,63.8472285400,E
HTI,2006-01-01,2006-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,US$,68.3257073400,E
HTI,2007-01-01,2007-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,US$,80.4979826400,E
HTI,2008-01-01,2008-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,US$,84.0588517500,E
HTI,2009-01-01,2009-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,US$,88.6737273400,E
HTI,2010-01-01,2010-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,US$,95.9847439300,E
HTI,2011-01-01,2011-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,US$,99.0119230400,E
HTI,2012-01-01,2012-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,US$,103.4421601000,E
HTI,2013-01-01,2013-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,US$,106.2397281000,E
HTI,2014-01-01,2014-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,US$,104.2555331000,E
HTI,2015-01-01,2015-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,US$,100.0000000000,E
HTI,2016-01-01,2016-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,US$,91.6015260500,E
HTI,2017-01-01,2017-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,US$,102.1187244000,E
HTI,2018-01-01,2018-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,US$,103.6935015000,E
HTI,2019-01-01,2019-12-31,93,'332,Haiti,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,US$,94.3389871400,E
